site,G1Known,G2Known,G3Known,G4Known,G5Known
9559-210131.aoladtech.site-not-provided,0.0,1.0,0.0,0.0,0.0
9570-210928.aoladtech.site-not-provided,0.285714285714,0.357142857143,0.285714285714,0.0714285714286,0.0
9574-210975.aoladtech.site-not-provided,1.0,0.0,0.0,0.0,0.0
9581-224561.aoladtech.site-not-provided,0.0,1.0,0.0,0.0,0.0
9586-211407.aoladtech.site-not-provided,1.0,0.0,0.0,0.0,0.0
9811-243124.aoladtech.site-not-provided,0.0,1.0,0.0,0.0,0.0
9824-222468.aoladtech.site-not-provided,0.0,0.0,0.0,1.0,0.0
9824-226513.aoladtech.site-not-provided,0.0,0.0,1.0,0.0,0.0
9830-219702.aoladtech.site-not-provided,0.0,0.0,1.0,0.0,0.0
9836-241157.aoladtech.site-not-provided,0.0,0.5,0.5,0.0,0.0
9836-245144.aoladtech.site-not-provided,0.0,0.0,1.0,0.0,0.0
9847-219973.aoladtech.site-not-provided,0.0,0.5,0.5,0.0,0.0
9859-220244.aoladtech.site-not-provided,0.0,0.0,1.0,0.0,0.0
9865-233035.aoladtech.site-not-provided,0.0,0.0,0.0,0.0,1.0
9883-221708.aoladtech.site-not-provided,0.666666666667,0.0,0.333333333333,0.0,0.0
9889-222880.aoladtech.site-not-provided,0.0,1.0,0.0,0.0,0.0
9894-222760.aoladtech.site-not-provided,1.0,0.0,0.0,0.0,0.0
9904-224222.aoladtech.site-not-provided,0.0,0.25,0.5,0.25,0.0
9917-245902.aoladtech.site-not-provided,0.0,0.0,1.0,0.0,0.0
9917-246351.aoladtech.site-not-provided,0.0,1.0,0.0,0.0,0.0
9932-231163.aoladtech.site-not-provided,0.0,0.25,0.5,0.25,0.0
9932-243072.aoladtech.site-not-provided,0.333333333333,0.333333333333,0.333333333333,0.0,0.0
9941-231368.aoladtech.site-not-provided,1.0,0.0,0.0,0.0,0.0
9950-242859.aoladtech.site-not-provided,0.0,1.0,0.0,0.0,0.0
9950-243874.aoladtech.site-not-provided,1.0,0.0,0.0,0.0,0.0
9963-246109.aoladtech.site-not-provided,0.0,0.666666666667,0.333333333333,0.0,0.0
9c97ff9dd63045a5.google.site-not-provided,0.0,0.0,1.0,0.0,0.0
9cf5791047e396f7.google.site-not-provided,0.0,0.0,1.0,0.0,0.0
9gag.com,0.0,0.0,0.0,1.0,0.0
Alphonso,0.0,1.0,0.0,0.0,0.0
CNN,0.384615384615,0.230769230769,0.307692307692,0.0769230769231,0.0
Giant Media,0.25,0.375,0.25,0.125,0.0
MLBsponsorship,0.142857142857,0.0,0.714285714286,0.142857142857,0.0
Pandora,0.666666666667,0.111111111111,0.111111111111,0.0,0.111111111111
Slate,0.0,1.0,0.0,0.0,0.0
TapAd,0.4,0.2,0.0,0.4,0.0
Teads,0.441176470588,0.176470588235,0.205882352941,0.117647058824,0.0588235294118
Wall,0.5,0.5,0.0,0.0,0.0
[page_url],0.6,0.0,0.0,0.2,0.2
[referrer_url],0.0,0.0,0.5,0.5,0.0
[source_page_url],0.0,1.0,0.0,0.0,0.0
a1bfd37ebc0528ee.google.site-not-provided,0.166666666667,0.5,0.166666666667,0.166666666667,0.0
a299958007527374.google.site-not-provided,1.0,0.0,0.0,0.0,0.0
a7a1830b2689514c.google.site-not-provided,0.0,0.0,1.0,0.0,0.0
a85b506b20de3e59.google.site-not-provided,0.0,0.0,1.0,0.0,0.0
aajtak.intoday.in,0.0,0.0,0.0,0.0,1.0
abc.com,0.5,0.0,0.0,0.0,0.5
abc11.com,0.0,0.0,0.0,1.0,0.0
abc13.com,0.0,0.0,0.5,0.0,0.5
abc2news.com,0.0,1.0,0.0,0.0,0.0
abcnews.com,0.75,0.0,0.25,0.0,0.0
abcnews.go.com,0.285714285714,0.285714285714,0.285714285714,0.142857142857,0.0
about.com,0.5,0.0,0.5,0.0,0.0
about:blank,0.266666666667,0.333333333333,0.266666666667,0.133333333333,0.0
abovethelaw.com,1.0,0.0,0.0,0.0,0.0
absolutedissent.proboards.com,0.0,1.0,0.0,0.0,0.0
accuweather.com,0.0,1.0,0.0,0.0,0.0
acneflex.com,0.0,0.0,0.0,0.0,1.0
actionbestgames.com,0.0,1.0,0.0,0.0,0.0
ad-cdn.uproxx.com,0.0,0.0,1.0,0.0,0.0
ad.360yield.com,0.0,0.0,0.0,1.0,0.0
ad.alltopics.com,0.0,0.0,0.0,1.0,0.0
ad.doubleclick.net,0.6,0.0,0.2,0.0,0.2
ad.ranker.com,0.0,0.666666666667,0.333333333333,0.0,0.0
addictinggames.com,0.4,0.0,0.2,0.4,0.0
addictinginfo.org,0.0,0.0,0.0,1.0,0.0
adirondackdailyenterprise.com,1.0,0.0,0.0,0.0,0.0
adlxatrk.com,0.0,1.0,0.0,0.0,0.0
adn.moviecommunities.com,0.0,1.0,0.0,0.0,0.0
adnxs.com,0.333333333333,0.0,0.333333333333,0.333333333333,0.0
ads.armslist.com,0.25,0.0,0.25,0.5,0.0
ads.bisnis.com,0.0,0.0,0.0,0.0,1.0
ads.financialcontent.com,1.0,0.0,0.0,0.0,0.0
ads.lfstmedia.com,1.0,0.0,0.0,0.0,0.0
ads.note10.com,0.0,1.0,0.0,0.0,0.0
ads.okcimg.com,0.0,1.0,0.0,0.0,0.0
ads.onimp03.com,0.0,0.0,0.0,1.0,0.0
ads.proboards.com,0.0,1.0,0.0,0.0,0.0
ads.pubmatic.com,0.6,0.05,0.15,0.15,0.05
ads.ultimate-guitar.com,0.0,1.0,0.0,0.0,0.0
adserver.adtechus.com,0.0,0.0,0.666666666667,0.333333333333,0.0
adserver.srax.com,0.0,1.0,0.0,0.0,0.0
adserver.thebuzztrend.com,0.571428571429,0.0,0.285714285714,0.0,0.142857142857
adsiduous.supply,0.666666666667,0.166666666667,0.0,0.166666666667,0.0
adthrive.com,0.0,1.0,0.0,0.0,0.0
advancedigital.com,0.222222222222,0.333333333333,0.222222222222,0.166666666667,0.0555555555556
advertise320.com,0.0,1.0,0.0,0.0,0.0
advertiser-tribune.com,1.0,0.0,0.0,0.0,0.0
aeeb584c3bab9290.google.site-not-provided,0.0,0.0,0.0,1.0,0.0
agar.io,0.0,0.0,0.0,1.0,0.0
agents.equator.com,1.0,0.0,0.0,0.0,0.0
agora-direct.mediagraph.com,0.0,0.5,0.0,0.5,0.0
ah.alltopics.com,0.0,0.0,0.0,1.0,0.0
ah.roosterteeth.com,1.0,0.0,0.0,0.0,0.0
ahancemedia.com,0.6,0.4,0.0,0.0,0.0
aintitcool.com,0.0,1.0,0.0,0.0,0.0
airtravel.about.com,1.0,0.0,0.0,0.0,0.0
ajc.com,0.0,0.0,0.0,1.0,0.0
al.com,0.0,0.0,0.0,1.0,0.0
aladdin.genieesspv.jp,1.0,0.0,0.0,0.0,0.0
alert5.com,0.0,0.0,1.0,0.0,0.0
all-that-is-interesting.com,1.0,0.0,0.0,0.0,0.0
all-things-delicious.blogspot.com,0.0,1.0,0.0,0.0,0.0
allafrica.com,0.0,0.0,1.0,0.0,0.0
allaroundraleighdj.blogspot.com,1.0,0.0,0.0,0.0,0.0
allcelebritymatrix.com,0.0,1.0,0.0,0.0,0.0
allcrafts.net,0.0,1.0,0.0,0.0,0.0
allears.net,0.0,0.0,1.0,0.0,0.0
allenbwest.com,0.666666666667,0.0,0.333333333333,0.0,0.0
allfashionmatrix.com,0.0,1.0,0.0,0.0,0.0
allhollywoodmatrix.com,0.0,1.0,0.0,0.0,0.0
allmommywants.com,0.0,0.0,1.0,0.0,0.0
allmusicals.com,0.0,0.0,1.0,0.0,0.0
allpetsmatrix.com,0.0,1.0,0.0,0.0,0.0
allrecipes.com,0.3,0.4,0.3,0.0,0.0
allrecipes.com.mx,0.0,1.0,0.0,0.0,0.0
allrookie.com,0.5,0.0,0.0,0.5,0.0
allsportsmatrix.com,0.0,1.0,0.0,0.0,0.0
allthingsceleb.com,1.0,0.0,0.0,0.0,0.0
alltopics.com,1.0,0.0,0.0,0.0,0.0
alltrophy.com,0.0,0.0,1.0,0.0,0.0
allwhoop.com,0.0,0.0,0.0,0.0,1.0
almanac.com,0.0,0.0,1.0,0.0,0.0
am.alltopics.com,0.0,0.0,0.0,1.0,0.0
amandascookin.com,0.0,1.0,0.0,0.0,0.0
amazingribs.com,0.0,0.0,1.0,0.0,0.0
amazyble.com,0.0,0.0,1.0,0.0,0.0
ambitionispriceless.com,1.0,0.0,0.0,0.0,0.0
americanas.com.br,0.0,0.0,1.0,0.0,0.0
americanfood.about.com,1.0,0.0,0.0,0.0,0.0
americanhistory.about.com,0.0,0.0,0.0,1.0,0.0
americanidolnet.com,1.0,0.0,0.0,0.0,0.0
americannews.com,0.0,1.0,0.0,0.0,0.0
americanoverlook.com,0.6,0.2,0.2,0.0,0.0
americanpregnancy.org,0.2,0.8,0.0,0.0,0.0
americansoccerfans.com,0.0,1.0,0.0,0.0,0.0
americanthinker.com,0.5,0.0,0.5,0.0,0.0
ams1.ib.adnxs.com,0.0,0.0,0.5,0.5,0.0
amyshealthybaking.com,0.0,1.0,0.0,0.0,0.0
ana-white.com,0.0,1.0,0.0,0.0,0.0
androidheadlines.com,0.0,1.0,0.0,0.0,0.0
anightowlblog.com,0.0,1.0,0.0,0.0,0.0
animalfair.com,0.0,0.0,1.0,0.0,0.0
animehere.com,0.0,0.0,0.0,1.0,0.0
animeshippuuden.com,0.0,0.0,0.0,1.0,0.0
animeultima.io,0.0,0.0,0.0,1.0,0.0
anitalianinmykitchen.com,0.0,1.0,0.0,0.0,0.0
anotherquiz.com,0.0,1.0,0.0,0.0,0.0
answers.com,0.264150943396,0.22641509434,0.320754716981,0.132075471698,0.0566037735849
answers.yahoo.com,0.166666666667,0.0,0.5,0.333333333333,0.0
antilag.com,0.0,0.0,1.0,0.0,0.0
anytheeng.com,0.0,1.0,0.0,0.0,0.0
anything2mp3.com,0.0,0.0,1.0,0.0,0.0
aoxz.mglnews.com,0.0,1.0,0.0,0.0,0.0
apartmentguide.com,1.0,0.0,0.0,0.0,0.0
aplus.com,0.0,0.0,0.0,1.0,0.0
apology-bully.wonderfuldailygalleries.net,1.0,0.0,0.0,0.0,0.0
appnexus.site-not-provided,0.5,0.25,0.0833333333333,0.166666666667,0.0
apps.facebook.com,0.5,0.25,0.25,0.0,0.0
appsrumors.com,0.0,1.0,0.0,0.0,0.0
apracticalwedding.com,0.5,0.5,0.0,0.0,0.0
archive.greenbaypressgazette.com,0.0,1.0,0.0,0.0,0.0
arenajunkies.com,1.0,0.0,0.0,0.0,0.0
armorgames.com,0.0,0.0,0.5,0.0,0.5
armslist.com,0.333333333333,0.0,0.666666666667,0.0,0.0
arstechnica.com,0.0,0.0,1.0,0.0,0.0
art-ent.microsoftadvertisingexchange.com.au,0.0,1.0,0.0,0.0,0.0
arthritis.about.com,1.0,0.0,0.0,0.0,0.0
articles.kspr.com,0.0,0.0,1.0,0.0,0.0
articles.latimes.com,0.5,0.0,0.5,0.0,0.0
articlesaz.com,0.0,0.0,1.0,0.0,0.0
articletrunk.com,0.0,0.0,1.0,0.0,0.0
artists.letssingit.com,0.5,0.5,0.0,0.0,0.0
as0.mta.info,0.0,0.0,0.0,0.0,1.0
asianews2ch.jp,1.0,0.0,0.0,0.0,0.0
asianfanatics.com,0.0,1.0,0.0,0.0,0.0
ask.com,0.0,0.333333333333,0.666666666667,0.0,0.0
ask.fm,0.0,0.0,1.0,0.0,0.0
assassinscreed.wikia.com,0.0,0.0,1.0,0.0,0.0
astrologyzone.com,1.0,0.0,0.0,0.0,0.0
astrostyle.com,0.5,0.0,0.0,0.5,0.0
atf.culture.asq.fr,0.0,0.0,1.0,0.0,0.0
atf.high-tech.asq.fr,0.0,0.0,1.0,0.0,0.0
atlantablackstar.com,0.0,1.0,0.0,0.0,0.0
atomic-robo.com,0.0,0.0,1.0,0.0,0.0
attackofthefanboy.com,0.0,0.333333333333,0.333333333333,0.333333333333,0.0
au.ibtimes.com,1.0,0.0,0.0,0.0,0.0
au.msn.com,0.0,0.5,0.5,0.0,0.0
auctionzip.com,0.5,0.0,0.5,0.0,0.0
auto.districtm.ca,0.0,0.0,0.0,1.0,0.0
auto.gumtree.com.au,0.0,0.0,1.0,0.0,0.0
auto3k.com,0.0,1.0,0.0,0.0,0.0
autopave.com,0.0,0.0,0.0,1.0,0.0
autorepair.about.com,0.0,0.0,1.0,0.0,0.0
autos.answers.com,1.0,0.0,0.0,0.0,0.0
autotrader.com,1.0,0.0,0.0,0.0,0.0
autowango.com,0.0,1.0,0.0,0.0,0.0
aviewfrommyseat.com,1.0,0.0,0.0,0.0,0.0
awesomepethealth.com,0.0,1.0,0.0,0.0,0.0
awfulannouncing.com,1.0,0.0,0.0,0.0,0.0
awkwardfamilyphotos.com,0.333333333333,0.0,0.333333333333,0.333333333333,0.0
awkwardzombie.com,0.0,0.0,1.0,0.0,0.0
awoiaf.westeros.org,0.0,0.0,1.0,0.0,0.0
azdailysun.com,0.0,0.0,0.0,1.0,0.0
azlyrics.com,0.0,0.5,0.5,0.0,0.0
aztourstravel.com,0.0,1.0,0.0,0.0,0.0
b.photobucket.com,0.0,0.333333333333,0.666666666667,0.0,0.0
b3.arcadefrontier.com,1.0,0.0,0.0,0.0,0.0
b3.arcadeweb.com,0.0,0.0,1.0,0.0,0.0
b3.livingplay.com,0.0,0.0,1.0,0.0,0.0
b3.rivalgaming.com,1.0,0.0,0.0,0.0,0.0
b3.toparcadehits.com,0.0,0.0,1.0,0.0,0.0
b4.arcadefrontier.com,0.0,0.0,0.0,0.0,1.0
b4.arcadeyum.com,0.0,0.0,0.5,0.0,0.5
b51b6f11ff0b6c1a.google.site-not-provided,0.0,1.0,0.0,0.0,0.0
babyandbump.momtastic.com,0.5,0.0,0.5,0.0,0.0
babyfit.sparkpeople.com,0.0,1.0,0.0,0.0,0.0
babynames.net,0.333333333333,0.333333333333,0.333333333333,0.0,0.0
babynamescountry.com,0.0,0.0,0.0,1.0,0.0
backchina.com,1.0,0.0,0.0,0.0,0.0
backtoherroots.com,0.0,1.0,0.0,0.0,0.0
badblue.bitnamiapp.com,0.5,0.0,0.5,0.0,0.0
badgerandblade.com,0.0,0.0,1.0,0.0,0.0
badlefthook.com,0.0,0.0,1.0,0.0,0.0
bakeat350.blogspot.ca,0.0,0.0,1.0,0.0,0.0
balm-lip.diply.com,1.0,0.0,0.0,0.0,0.0
baltimoresun.com,0.0,1.0,0.0,0.0,0.0
bandera.inquirer.net,0.0,1.0,0.0,0.0,0.0
bangordailynews.com,0.0,1.0,0.0,0.0,0.0
bankrate.com,0.0,0.5,0.5,0.0,0.0
banks-america.com,0.0,1.0,0.0,0.0,0.0
baodatviet.vn,1.0,0.0,0.0,0.0,0.0
barbaraworldstar.com,0.0,0.0,1.0,0.0,0.0
barelyadventist.com,0.0,1.0,0.0,0.0,0.0
barnesandnoble.com,0.0,0.0,1.0,0.0,0.0
basketball.realgm.com,0.0,0.0,0.0,1.0,0.0
bathing.diply.com,1.0,0.0,0.0,0.0,0.0
batln.com,0.0,1.0,0.0,0.0,0.0
bballcloud.com,0.0,0.0,1.0,0.0,0.0
bbc.com,0.0,0.333333333333,0.333333333333,0.333333333333,0.0
bbq.about.com,0.0,1.0,0.0,0.0,0.0
bbqbeat.com,0.0,0.0,1.0,0.0,0.0
bbs.tianya.cn,0.0,1.0,0.0,0.0,0.0
bbs.wenxuecity.com,1.0,0.0,0.0,0.0,0.0
bebebump.com,1.0,0.0,0.0,0.0,0.0
bedandbreakfast.com,0.0,0.5,0.5,0.0,0.0
beforeitsnews.com,0.666666666667,0.0,0.333333333333,0.0,0.0
beforetheclockstrikesmidnight.blogspot.com,0.0,1.0,0.0,0.0,0.0
beginnersinvest.about.com,0.0,0.0,0.0,1.0,0.0
bestanimes.tv,1.0,0.0,0.0,0.0,0.0
bestarcadesandgames.com,0.0,1.0,0.0,0.0,0.0
bestmomstv.com,0.0,1.0,0.0,0.0,0.0
bestplants.com,0.0,0.0,0.0,1.0,0.0
bettingzone.oddschecker.com,0.0,0.0,0.0,1.0,0.0
bgr.com,0.2,0.4,0.0,0.0,0.4
bigblueview.com,1.0,0.0,0.0,0.0,0.0
bindingofisaacrebirth-fr.gamepedia.com,0.0,0.0,1.0,0.0,0.0
bindingofisaacrebirth.gamepedia.com,0.0,0.0,1.0,0.0,0.0
biology.about.com,0.0,0.0,0.5,0.0,0.5
birman.rescueme.org,1.0,0.0,0.0,0.0,0.0
bitecharge.com,0.375,0.25,0.25,0.125,0.0
bitedelite.com,0.0,1.0,0.0,0.0,0.0
bitesizewellness.com,0.0,1.0,0.0,0.0,0.0
bitzngiggles.com,0.0,1.0,0.0,0.0,0.0
bizz-news.com,0.0,1.0,0.0,0.0,0.0
blackgirllonghair.com,0.0,1.0,0.0,0.0,0.0
